positions_id,positions_decoding,positions_name,positions_aliases,positions_category,positions_subcategory,positions_type,positions_variation,positions_direction,positions_configuration,positions_inclination
10,Handstand (Arch) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Arch Handstand,,Balancing,,Handstand,Arch,-,-,-
47,Archer (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Archer,"Shooting Bow, Bow and Arrow, Akarna Dhanurasana, आकर्णधनुरासन",Sitting,Split,Archer,-,-,-,-
87,Athletic (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Athletic,,Bending,,Athletic,-,-,-,-
115,Military (Attention) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Attention Military,"Attention Soldier, At Attention, Attention",Standing,,Military,Attention,-,-,-
319,Auspicious (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Auspicious,"Lucky Mark, Square, Svastikasana, स्वस्तिकसन",Sitting,Meditation,Auspicious,-,-,-,-
328,Awkward (-) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Awkward,"Powerful, Utkatasana, उत्कटासन",Standing,,Awkward,-,-,-,-
169,Bent (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Bending⧽,Backward Bent,,Bending,,Bent,-,Backward,-,-
191,Jumping (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Suspended⧽,Backward Jumping,,Suspended,,Jumping,-,Backward,-,-
29,Leaning (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Leaning⧽,Backward Leaning,,Leaning,,Leaning,-,Backward,-,-
248,Running (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Running⧽,Backward Running,,Running,,Running,-,Backward,-,-
268,Kneeling (Sit) ⟮Backward⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Backward Sit Kneeling,,Kneeling,,Kneeling,Sit,Backward,-,-
249,Walking (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Walking⧽,Backward Walking,,Walking,,Walking,-,Backward,-,-
348,Twist (Belly) ⟮Supine⟯ [-] ⟨-⟩ ⧼Lying⧽,Belly Twist,"Jathara Parivartanasana, ञटर परिवर्तनासन",Lying,,Twist,Belly,Supine,-,-
76,Bent (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Bent,Bent Over,Bending,,Bent,-,-,-,-
