id,decoding,title,aliases,categories,subcategories,types,variations,directions,configurations,inclinations,source
101,Crane (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Crane,"Crow, Bakasana, Kakasana, बकासन, ककासन",Balancing,,Crane,-,-,-,-,../Body Positions/Crane
135,Crawling (-) ⟮-⟯ [-] ⟨-⟩ ⧼Crawling⧽,Crawling,,Crawling,,Crawling,-,-,-,-,../Body Positions/Crawling
96,Moon (Crescent) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Crescent Moon,"Dragon, Anjaneyasana, अञ्जनेयासन",Bending,,Moon,Crescent,-,-,-,../Body Positions/Crescent Moon
356,Crocodile (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Crocodile,"Makarasana, मकरासन",Lying,,Crocodile,-,Prone,-,-,../Body Positions/Crocodile
35,Sitting (-) ⟮-⟯ [Crossed Ankles] ⟨-⟩ ⧼Sitting⧽,Crossed Ankles Sitting,,Sitting,,Sitting,-,-,Crossed Ankles,-,../Body Positions/Crossed Ankles Sitting
32,Fowler (High) ⟮-⟯ [Crossed Legs] ⟨-⟩ ⧼Sitting⧽,Crossed Legs High Fowler,,Sitting,,Fowler,High,-,Crossed Legs,-,../Body Positions/Crossed Legs High Fowler
57,Sitting (-) ⟮-⟯ [Crossed Legs] ⟨-⟩ ⧼Sitting⧽,Crossed Legs Sitting,,Sitting,,Sitting,-,-,Crossed Legs,-,../Body Positions/Crossed Legs Sitting
194,Standing (-) ⟮-⟯ [Crossed Legs] ⟨-⟩ ⧼Standing⧽,Crossed Legs Standing,,Standing,,Standing,-,-,Crossed Legs,-,../Body Positions/Crossed Legs Standing
107,Crouching (-) ⟮-⟯ [-] ⟨-⟩ ⧼Squatting⧽,Crouching,,Squatting,,Crouching,-,-,-,-,../Body Positions/Crouching
363,Dancer (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Dancer,"Lord of the Dance, Nataraja's Pose, Natarajasana, नटराजासन",Balancing,,Dancer,-,-,-,-,../Body Positions/Dancer
81,Handstand (-) ⟮-⟯ [1 Arm] ⟨Declined⟩ ⧼Handstand⧽,Declined 1 Arm Handstand,,Balancing,,Handstand,-,-,1 Arm,Declined,../Body Positions/Declined 1 Arm Handstand
230,Fowler (High) ⟮-⟯ [1 Leg] ⟨Declined⟩ ⧼Sitting⧽,Declined 1 Leg High Fowler,,Sitting,,Fowler,High,-,1 Leg,Declined,../Body Positions/Declined 1 Leg High Fowler
240,Suspended (-) ⟮Backward⟯ [-] ⟨Declined⟩ ⧼Suspended⧽,Declined Backward Suspended,,Suspended,,Suspended,-,Backward,-,Declined,../Body Positions/Declined Backward Suspended
224,Dog (-) ⟮Downward⟯ [-] ⟨Declined⟩ ⧼Bending⧽,Declined Downward Dog,,Bending,,Dog,Downward,-,-,Declined,../Body Positions/Declined Downward Dog
241,Suspended (-) ⟮Forward⟯ [-] ⟨Declined⟩ ⧼Suspended⧽,Declined Forward Suspended,,Suspended,,Suspended,-,Forward,-,Declined,../Body Positions/Declined Forward Suspended
79,Handstand (-) ⟮-⟯ [-] ⟨Declined⟩ ⧼Handstand⧽,Declined Handstand,,Balancing,,Handstand,-,-,-,Declined,../Body Positions/Declined Handstand
206,Fowler (High) ⟮-⟯ [-] ⟨Declined⟩ ⧼Sitting⧽,Declined High Fowler,,Sitting,,Fowler,High,-,-,Declined,../Body Positions/Declined High Fowler
208,Fowler (Low) ⟮-⟯ [-] ⟨Declined⟩ ⧼Sitting⧽,Declined Low Fowler,,Sitting,,Fowler,Low,-,-,Declined,../Body Positions/Declined Low Fowler
186,Lying (-) ⟮Supine⟯ [Lowered Knees] ⟨Declined⟩ ⧼Lying⧽,Declined Lowered Knees Supine Lying,,Lying,,Lying,-,Supine,Lowered Knees,Declined,../Body Positions/Declined Lowered Knees Supine Lying
105,Plank (-) ⟮-⟯ [-] ⟨Declined⟩ ⧼Crawling⧽,Declined Plank,Declined Low Plank,Crawling,,Plank,-,-,-,Declined,../Body Positions/Declined Plank
204,Fowler (Semi) ⟮-⟯ [-] ⟨Declined⟩ ⧼Sitting⧽,Declined Semi Fowler,,Sitting,,Fowler,Semi,-,-,Declined,../Body Positions/Declined Semi Fowler
39,Lying (-) ⟮Supine⟯ [-] ⟨Declined⟩ ⧼Lying⧽,Declined Supine Lying,Trendelenburg,Lying,,Lying,-,Supine,-,Declined,../Body Positions/Declined Supine Lying
236,Suspended (-) ⟮-⟯ [-] ⟨Declined⟩ ⧼Suspended⧽,Declined Suspended,,Suspended,,Suspended,-,-,-,Declined,../Body Positions/Declined Suspended
146,Decubitus (-) ⟮-⟯ [-] ⟨-⟩ ⧼Lying⧽,Decubitus,,Lying,Medical,Decubitus,-,-,-,-,../Body Positions/Decubitus
124,Dog (-) ⟮Downward⟯ [-] ⟨-⟩ ⧼Bending⧽,Downward Dog,"Downward Facing Dog, Adho Mukha Svanasana, Adho Mukha Shvanasana, अधोमुखश्वानासन",Bending,Yoga,Dog,-,Downward,-,-,../Body Positions/Downward Dog
324,Dragonfly (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Dragonfly,"Open Angle, Upavishta Konasana, उपविष्टकोणासन",Sitting,Split,Dragonfly,-,-,-,-,../Body Positions/Dragonfly
340,Pose (Durvasa's) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Durvasa's Pose,"Durvasasana, दुर्वासासन",Balancing,Pose,Pose,Durvasa's,-,-,-,../Body Positions/Durvasa's Pose
342,Eagle (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Eagle,"Garudasana, गरुडासन",Balancing,,Eagle,-,-,-,-,../Body Positions/Eagle
350,Ear Pressing (-) ⟮-⟯ [-] ⟨-⟩ ⧼Inversion⧽,Ear Pressing,"Karnapidasana, कर्णपीडासन",Inversion,,Ear Pressing,-,-,-,-,../Body Positions/Ear Pressing
316,Easy (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Easy,"Sukhasana, सुखासन",Sitting,Meditation,Easy,-,-,-,-,../Body Positions/Easy
99,Eight Angled (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Eight Angled,"Aṣṭāvakra's Pose, Astavakrasana, अष्टावक्रासन",Balancing,,Eight Angled,-,-,-,-,../Body Positions/Eight Angled
106,Handstand (Elbow) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Elbow Handstand,Pincha Mayurasana,Balancing,,Handstand,Elbow,-,-,-,../Body Positions/Elbow Handstand
247,Running (Elliptical) ⟮-⟯ [-] ⟨-⟩ ⧼Running⧽,Elliptical Running,,Running,,Running,Elliptical,-,-,-,../Body Positions/Elliptical Running
246,Walking (Elliptical) ⟮-⟯ [-] ⟨-⟩ ⧼Walking⧽,Elliptical Walking,,Walking,,Walking,Elliptical,-,-,-,../Body Positions/Elliptical Walking
341,Embryo (In Womb) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Embryo in Womb,"Garbha Pindasana, गर्भासन",Sitting,,Embryo,In Womb,-,-,-,../Body Positions/Embryo in Womb
308,Peacock (Feathered) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Feathered Peacock,"Pincha Mayurasana, पिञ्चमयूरासन",Balancing,,Peacock,Feathered,-,-,-,../Body Positions/Feathered Peacock
123,Fetal (-) ⟮-⟯ [-] ⟨-⟩ ⧼Lying⧽,Fetal,,Lying,Sleeping,Fetal,-,-,-,-,../Body Positions/Fetal
36,Sitting (Figure Four) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Figure Four Sitting,,Sitting,,Sitting,Figure Four,-,-,-,../Body Positions/Figure Four Sitting
321,Firefly (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Firefly,"Tittibhasana, टिट्टिभासन",Balancing,,Firefly,-,-,-,-,../Body Positions/Firefly
359,Fish (-) ⟮-⟯ [-] ⟨-⟩ ⧼Reclining⧽,Fish,"Matsyasana, मत्स्यासन",Reclining,,Fish,-,-,-,-,../Body Positions/Fish
173,Standing (-) ⟮-⟯ [Folded Arms] ⟨-⟩ ⧼Standing⧽,Folded Arms Standing,Action Pose,Standing,,Standing,-,-,Folded Arms,-,../Body Positions/Folded Arms Standing
332,Formidable (-) ⟮Supine⟯ [-] ⟨-⟩ ⧼Lying⧽,Formidable,"Bhairavasana, Ankushasana, भैरवासन, अण्कुशासन",Lying,,Formidable,-,Supine,-,-,../Body Positions/Formidable
25,Bent (-) ⟮Forward⟯ [-] ⟨-⟩ ⧼Bending⧽,Forward Bent,"Standing Forward Bend, Upright Forward Bend, Uttanasana, उत्तानासन",Bending,,Bent,-,Forward,-,-,../Body Positions/Forward Bent
4,Jumping (-) ⟮Forward⟯ [-] ⟨-⟩ ⧼Suspended⧽,Forward Jumping,Forward Jump,Suspended,,Jumping,-,Forward,-,-,../Body Positions/Forward Jumping
167,Leaning (-) ⟮Forward⟯ [-] ⟨-⟩ ⧼Leaning⧽,Forward Leaning,,Leaning,,Leaning,-,Forward,-,-,../Body Positions/Forward Leaning
114,Freefall (-) ⟮-⟯ [-] ⟨-⟩ ⧼Suspended⧽,Freefall,Free Fall,Suspended,,Freefall,-,-,-,-,../Body Positions/Freefall
333,Frog (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Frog,"Bhekasana, भेकासन",Lying,,Frog,-,Prone,-,-,../Body Positions/Frog
17,Split (-) ⟮Front⟯ [-] ⟨-⟩ ⧼Sitting⧽,Front Split,Hanumanasana,Sitting,Split,Split,-,Front,-,-,../Body Positions/Front Split
111,Planche (Full) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Full Planche,,Balancing,,Planche,Full,-,-,-,../Body Positions/Full Planche
68,Squatting (Full) ⟮-⟯ [-] ⟨-⟩ ⧼Squatting⧽,Full Squatting,,Squatting,,Squatting,Full,-,-,-,../Body Positions/Full Squatting
357,Garland (-) ⟮-⟯ [-] ⟨-⟩ ⧼Squatting⧽,Garland,"Malasana, मालासन",Squatting,,Garland,-,-,-,-,../Body Positions/Garland
366,Gate (-) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Gate,"Parighasana, परिघासन",Standing,,Gate,-,-,-,-,../Body Positions/Gate
26,Bent (Half) ⟮Forward⟯ [-] ⟨-⟩ ⧼Bending⧽,Half Forward Bent,Ardha Uttanasana,Bending,,Bent,Half,Forward,-,-,../Body Positions/Half Forward Bent
78,Handstand (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Half Handstand,,Balancing,,Handstand,Half,-,-,-,../Body Positions/Half Handstand
21,Headstand (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Headstand⧽,Half Headstand,"Shirshasana A, Shirshasana 1, Sirsasana A, Sirsasana 1, Elbow Headstand",Balancing,,Headstand,Half,-,-,-,../Body Positions/Half Headstand
136,Kneeling (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Half Kneeling,"Taking a Knee, Genuflection",Kneeling,,Kneeling,Half,-,-,-,../Body Positions/Half Kneeling
97,Moon (Half) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Half Moon,"Ardha Chandrasana, अर्धचन्द्रासन",Bending,,Moon,Half,-,-,-,../Body Positions/Half Moon
174,Standing (-) ⟮-⟯ [Hands on Hips] ⟨-⟩ ⧼Standing⧽,Hands on Hips Standing,Akimbo Standing,Standing,,Standing,-,-,Hands on Hips,-,../Body Positions/Hands on Hips Standing
77,Handstand (-) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Handstand,"Yoga Handstand, Downward Facing Tree, Adho Mukha Vrikshasana, अधोमुखवृक्षासन",Balancing,,Handstand,-,-,-,-,../Body Positions/Handstand
89,Hanging (-) ⟮-⟯ [-] ⟨-⟩ ⧼Hanging⧽,Hanging,,Hanging,,Hanging,-,-,-,-,../Body Positions/Hanging
346,Pose (Hanuman's) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Hanuman's Pose,"Hanumanasana, हनुमनासन",Sitting,Pose,Pose,Hanuman's,-,-,-,../Body Positions/Hanuman's Pose
22,Headstand (-) ⟮-⟯ [-] ⟨-⟩ ⧼Headstand⧽,Headstand,"Yoga Headstand, Shirshasana B, Shirshasana 2, Sirsasana B, Sirsasana 2, Kapalasana, शीर्षासन",Balancing,,Headstand,-,-,-,-,../Body Positions/Headstand
347,Head to Knee (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Head-to-Knee,"Head-to-Knee, Janusirsasana, जानुशीर्षासन",Bending,,Head to Knee,-,-,-,-,../Body Positions/Head-to-Knee
301,Hero (-) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Hero,"Hero's Meditation, Virasana, Dhyana Virasana, वीरासन, ध्यान वीरासन",Kneeling,Meditation,Hero,-,-,-,-,../Body Positions/Hero
